License_Fiscal_Year_License_Num,Business_Name,Street_Address,City,State,Zip,Business_Phone_Number,Classification_Code,Classification_Description,License_Expir_Date,Issue_Date,License_Fiscal_Year,License_Status,License_Status_Description,Council_District_Code,Council_District_Description,Location_1,FID
,SHIPSHEWANA ON THE ROAD,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 979-8888,TRANS,TRANSIENT MERCHANT,2007-03-31T04:00:00.000Z,2007-02-16T05:00:00.000Z,2007,RN,Renewed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9910
,WATSON'S TREE SERVICE,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 683-5305,ARBOR,ARBORIST/TREE SERVICE,2007-01-31T05:00:00.000Z,2006-03-27T05:00:00.000Z,2006,RN,Renewed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9911
,"O'NEAL, MICHAEL E",1301 N MICHIGAN ST,SOUTH BEND,IN,46619,(574) 386-5508,TAXID,TAXI DRIVER,2008-06-01T04:00:00.000Z,2007-05-08T04:00:00.000Z,2007,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1301 N MICHIGAN ST
SOUTH BEND, IN 46619
(41.692478, -86.250692)",9912
,"GASKA, JAMES M",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 250-5574,TAXID,TAXI DRIVER,2007-06-01T04:00:00.000Z,2006-05-31T04:00:00.000Z,2006,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9913
,"HOFFMAN, ROBERT R",1441 E DONALD ST,SOUTH BEND,IN,46613,(574) 286-1194,TAXID,TAXI DRIVER,2010-06-01T04:00:00.000Z,2009-07-01T04:00:00.000Z,2009,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1441 E DONALD ST
SOUTH BEND, IN 46613
(41.653026, -86.226129)",9914
,MICHIANA TRUCK CENTER,3610 DEAHL CT,SOUTH BEND,IN,46628,(574) 277-7300,AUTO,AUTOMOTIVE REPAIR & SVC,2009-01-31T05:00:00.000Z,2008-03-07T05:00:00.000Z,2008,RN,Renewed,SB1,COUNCIL DISTRICT 1,"3610 DEAHL CT
SOUTH BEND, IN 46628
(41.726489, -86.295841)",9915
,TIPPECANOE PLACE RESTAURANT,620 W WASHINGTON ST,SOUTH BEND,IN,46601,(574) 234-9077,RESTZ,RESTAURANTS N-Z,2010-03-31T04:00:00.000Z,2009-06-30T04:00:00.000Z,2009,RN,Renewed,SB2,COUNCIL DISTRICT 2,"620 W WASHINGTON ST
SOUTH BEND, IN 46601
(41.676327, -86.257859)",9916
,"MCLEAN'S SERVICES, INC.",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 231-1541,TRASH,RUBBISH & GARBAGE REMOVAL,2008-04-30T04:00:00.000Z,2007-05-01T04:00:00.000Z,2007,IN,Incative and no longer licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9917
,TASTE OF MEXICO,2637 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 232-8960,RESTZ,RESTAURANTS N-Z,2010-03-31T04:00:00.000Z,2009-06-30T04:00:00.000Z,2009,RN,Renewed,SB2,COUNCIL DISTRICT 2,"2637 W WESTERN AVE
SOUTH BEND, IN 46619
(41.672029, -86.287489)",9918
,CATHERINE VOGEL,514 E ECKMAN ST,SOUTH BEND,IN,46614,(574) 299-9902,MSGTEC,MASSAGE THERAPY,2008-01-31T05:00:00.000Z,2007-02-09T05:00:00.000Z,2007,IN,Incative and no longer licensed,SB5,COUNCIL DISTRICT 5,"514 E ECKMAN ST
SOUTH BEND, IN 46614
(41.646355, -86.243698)",9919
,EVANGELICAL COVENANT CHURCH,3025 EDISON RD,SOUTH BEND,IN,46615,(574) 234-5619,RESTAM,RESTAURANTS A-M,2013-02-28T05:00:00.000Z,2012-04-18T04:00:00.000Z,2012,RN,Renewed,SB4,COUNCIL DISTRICT 4,"3025 EDISON RD
SOUTH BEND, IN 46615
(41.694632, -86.205543)",9920
,"TAYLOR, JAMES L",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 250-5553,TAXID,TAXI DRIVER,2007-06-01T04:00:00.000Z,2006-05-31T04:00:00.000Z,2006,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9921
,BURGER KING #6622,1113 E IRELAND RD,SOUTH BEND,IN,46614,(574) 291-4300,RESTAM,RESTAURANTS A-M,2008-02-28T05:00:00.000Z,2007-03-01T05:00:00.000Z,2007,RN,Renewed,SB5,COUNCIL DISTRICT 5,"1113 E IRELAND RD
SOUTH BEND, IN 46614
(41.629422, -86.233791)",9922
,PIZZA HUT - DONT USE,2017 SOUTH BEND AVE,SOUTH BEND,IN,46637,(574) 273-9944,RESTZ,RESTAURANTS N-Z,2007-03-31T04:00:00.000Z,2006-05-30T04:00:00.000Z,2006,RN,Renewed,SB4,COUNCIL DISTRICT 4,"2017 SOUTH BEND AVE
SOUTH BEND, IN 46637
(41.698721, -86.218864)",9923
,BROWN INTERMEDIATE SCHOOL,737 BEALE ST,SOUTH BEND,IN,46616,(574) 284-1206,RESTAM,RESTAURANTS A-M,2009-02-28T05:00:00.000Z,2008-06-17T04:00:00.000Z,2008,RN,Renewed,SB1,COUNCIL DISTRICT 1,"737 BEALE ST
SOUTH BEND, IN 46616
(41.69992, -86.261115)",9924
,"YELLOW CAB OF MICHIANA, INC",1814 S MAIN ST,SOUTH BEND,IN,46613,(574) 233-9333,TAXICO,TAXI COMPANY,2008-06-01T04:00:00.000Z,2007-05-04T04:00:00.000Z,2007,AC,Active and Licensed,SB3,COUNCIL DISTRICT 3,"1814 S MAIN ST
SOUTH BEND, IN 46613
(41.65494, -86.251447)",9925
,LIFTER & ASSOC. HOME CARE SERV,711 SHERMAN AVE,SOUTH BEND,IN,46616,(574) 288-5838,PEDDLR,PEDDLER & CANVASSER,2010-01-31T05:00:00.000Z,2009-02-25T05:00:00.000Z,2009,IN,Incative and no longer licensed,SB1,COUNCIL DISTRICT 1,"711 SHERMAN AVE
SOUTH BEND, IN 46616
(41.684169, -86.264833)",9926
,SAINT JOHN THE BAPTIST CATHOLI,3616 SAINT JOHNS WAY,SOUTH BEND,IN,46628,(574) 232-9849,RESTZ,RESTAURANTS N-Z,2008-03-21T04:00:00.000Z,2007-05-02T04:00:00.000Z,2007,4N,4th Renewal Notice,SB2,COUNCIL DISTRICT 2,"3616 SAINT JOHNS WAY
SOUTH BEND, IN 46628
(41.691548, -86.29981)",9927
,POLISH NATIONAL ALLIANCE #83,2401 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 233-0880,RESTZ,RESTAURANTS N-Z,2013-03-31T04:00:00.000Z,2012-05-24T04:00:00.000Z,2012,RN,Renewed,SB2,COUNCIL DISTRICT 2,"2401 W WESTERN AVE
SOUTH BEND, IN 46619
(41.672069, -86.283589)",9928
,CHECKER CAB OF NORTHERN INDIAN,1635 N IRONWOOD DR,SOUTH BEND,IN,46615,(574) 288-7777,TAXICO,TAXI COMPANY,2010-06-01T04:00:00.000Z,2009-05-18T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1635 N IRONWOOD DR
SOUTH BEND, IN 46615
(41.697561, -86.216497)",9929
,PROTECTION PLUS SECURITY ALARM,50564 GLENSHIRE CT,GRANGER,IN,46530,(574) 276-8675,ALARM,ALARM AGENT,2010-01-31T05:00:00.000Z,2009-05-18T04:00:00.000Z,2009,RN,Renewed,,,"50564 GLENSHIRE CT
GRANGER, IN 46530
(41.758967, -86.140943)",9930
,HARRISON PRIMARY SCHOOL,3302 W WESTERN AVE,SOUTH BEND,IN,46624,(574) 283-7308,RESTAM,RESTAURANTS A-M,2008-02-28T05:00:00.000Z,2007-05-30T04:00:00.000Z,2007,RN,Renewed,SB6,COUNCIL DISTRICT 6,"3302 W WESTERN AVE
SOUTH BEND, IN 46624
(41.671962, -86.294778)",9931
,"HULLINGER, TRACI S",3323 FELLOWS ST,SOUTH BEND,IN,46614,(574) 440-3812,TAXID,TAXI DRIVER,2007-06-01T04:00:00.000Z,2006-05-11T04:00:00.000Z,2006,AC,Active and Licensed,SB5,COUNCIL DISTRICT 5,"3323 FELLOWS ST
SOUTH BEND, IN 46614
(41.640173, -86.244245)",9932
,BELLINI LANDSCAPING & DESIGN,549 LINCOLN WAY W,SOUTH BEND,IN,46601,(574) 257-4582,ARBOR,ARBORIST/TREE SERVICE,2010-01-31T05:00:00.000Z,2009-02-25T05:00:00.000Z,2009,RN,Renewed,,,"549 LINCOLN WAY W
SOUTH BEND, IN 46601
(41.680617, -86.258533)",9933
,1100 BURNS ST,1117 BURNS AVE,SOUTH BEND,IN,46617,(574) 233-7457,LPARKO,LAWN PARK 10 OR MORE SPACES,2009-09-05T04:00:00.000Z,2009-09-02T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1117 BURNS AVE
SOUTH BEND, IN 46617
(41.690462, -86.2333)",9934
,Z.B. FALCON NEST 80,323 S SHERIDAN ST,SOUTH BEND,IN,46619,(574) 288-3335,RESTZ,RESTAURANTS N-Z,2013-03-31T04:00:00.000Z,2012-05-09T04:00:00.000Z,2012,RN,Renewed,SB2,COUNCIL DISTRICT 2,"323 S SHERIDAN ST
SOUTH BEND, IN 46619
(41.672988, -86.303342)",9935
,BLUE RIBBON TAXI,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 233-4040,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-05-19T04:00:00.000Z,2009,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",9936
,"THE PORTAGE GRILL, LLC",1519 PORTAGE AVE,SOUTH BEND,IN,46617,(574) 288-2867,RESTZ,RESTAURANTS N-Z,2010-03-31T04:00:00.000Z,2009-04-08T04:00:00.000Z,2009,IN,Incative and no longer licensed,SB1,COUNCIL DISTRICT 1,"1519 PORTAGE AVE
SOUTH BEND, IN 46617
(41.695972, -86.27029)",9937
,THE STATE CAFE & CATERING,117 E WAYNE ST,SOUTH BEND,IN,46601,(574) 234-0030,RESTIT,ITINERANT RESTAURANT,2009-09-05T04:00:00.000Z,2008-06-10T04:00:00.000Z,2008,IN,Incative and no longer licensed,SB2,COUNCIL DISTRICT 2,"117 E WAYNE ST
SOUTH BEND, IN 46601
(41.673687, -86.249951)",9938
,SANDRA KAYE PISANI,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 262-3504,MSGTEC,MASSAGE THERAPY,2010-01-31T05:00:00.000Z,2009-02-04T05:00:00.000Z,2009,RN,Renewed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9939
,THE LOUVERED DOOR,1622 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 237-9170,RESTZ,RESTAURANTS N-Z,2008-03-31T04:00:00.000Z,2007-02-16T05:00:00.000Z,2007,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1622 W WESTERN AVE
SOUTH BEND, IN 46619
(41.672169, -86.275226)",9940
,805 NAPOLEON,805 NAPOLEON ST,SOUTH BEND,IN,46617,(574) 339-0275,LPARKU,LAWN PARK UNDER 10 SPACES,2009-11-21T05:00:00.000Z,2009-09-02T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"805 NAPOLEON ST
SOUTH BEND, IN 46617
(41.691198, -86.239054)",9941
,BIG M'S HOUSE OF RESALE,3613 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 485-6634,SECOND,SECOND HAND DEALERS,2010-01-31T05:00:00.000Z,2009-02-26T05:00:00.000Z,2009,IN,Incative and no longer licensed,SB3,COUNCIL DISTRICT 3,"3613 MISHAWAKA AVE
SOUTH BEND, IN 46615
(41.66573, -86.197033)",9942
,COLLEGE FOOTBALL HALL OF FAME,111 S SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 235-9999,OPARPV,OPEN AIR VENDORS PRIVATE,2006-08-15T04:00:00.000Z,2006-08-07T04:00:00.000Z,2006,IN,Incative and no longer licensed,SB2,COUNCIL DISTRICT 2,"111 S SAINT JOSEPH ST
SOUTH BEND, IN 46601
(41.675906, -86.248792)",9943
,RICHEY'S IMPORTED CAR SERVICE,1612 LINCOLN WAY E,SOUTH BEND,IN,46613,(574) 287-9121,AUTO,AUTOMOTIVE REPAIR & SVC,2009-01-31T05:00:00.000Z,2008-07-24T04:00:00.000Z,2008,RN,Renewed,,,"1612 LINCOLN WAY E
SOUTH BEND, IN 46613
(41.658644, -86.223773)",9944
,"ELLIOTT, MARK L",29900 GRANT RD,SOUTH BEND,IN,46619,(574) 654-0168,TAXID,TAXI DRIVER,2010-06-01T04:00:00.000Z,2009-05-19T04:00:00.000Z,2009,AC,Active and Licensed,,,"29900 GRANT RD
SOUTH BEND, IN 46619
",9945
,JULIOS RESTAURANT MEXICAN FOOD,1724 N IRONWOOD DR,SOUTH BEND,IN,46635,(574) 271-9820,RESTAM,RESTAURANTS A-M,2010-02-28T05:00:00.000Z,2009-10-19T04:00:00.000Z,2009,IN,Incative and no longer licensed,SB4,COUNCIL DISTRICT 4,"1724 N IRONWOOD DR
SOUTH BEND, IN 46635
(41.698872, -86.216527)",9946
,"MC INVESTMENTS, LLC",117 S WILLIAM ST,SOUTH BEND,IN,46601,(216) 781-9110,PARK,PUBLIC PARKING FACILITY,2008-01-31T05:00:00.000Z,2008-04-15T04:00:00.000Z,2007,RN,Renewed,SB2,COUNCIL DISTRICT 2,"117 S WILLIAM ST
SOUTH BEND, IN 46601
(41.675535, -86.256058)",9947
,BABA'S B-B-QUE & MORE,601 E JEFFERSON BLVD,SOUTH BEND,IN,46614,(574) 344-8061,RESTAM,RESTAURANTS A-M,2010-02-28T05:00:00.000Z,2009-05-01T04:00:00.000Z,2009,IN,Incative and no longer licensed,SB4,COUNCIL DISTRICT 4,"601 E JEFFERSON BLVD
SOUTH BEND, IN 46614
(41.675123, -86.24252)",9948
,718 NAPOLEON BLVD,718 NAPOLEON ST,SOUTH BEND,IN,46617,(000) 000-0000,LPARKU,LAWN PARK UNDER 10 SPACES,2010-09-02T04:00:00.000Z,2009-09-02T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"718 NAPOLEON ST
SOUTH BEND, IN 46617
(41.69119, -86.239864)",9949
,MARINE CORPS LEAGUE,539 PARRY ST,SOUTH BEND,IN,46617,(574) 233-0253,RESTAM,RESTAURANTS A-M,2009-02-28T05:00:00.000Z,2008-08-14T04:00:00.000Z,2008,RN,Renewed,SB4,COUNCIL DISTRICT 4,"539 PARRY ST
SOUTH BEND, IN 46617
(41.670417, -86.235683)",9950
,VELDMAN'S SERVICE CENTER,5222 W WESTERN AVE,SOUTH BEND,IN,46619,(574) 287-7236,AUTO,AUTOMOTIVE REPAIR & SVC,2009-01-31T05:00:00.000Z,2008-02-28T05:00:00.000Z,2008,RN,Renewed,SB6,COUNCIL DISTRICT 6,"5222 W WESTERN AVE
SOUTH BEND, IN 46619
(41.671814, -86.320911)",9951
,O G CHINESE RESTAURANT,1341 PORTAGE AVE,SOUTH BEND,IN,46680,(574) 289-8899,RESTZ,RESTAURANTS N-Z,2008-03-21T04:00:00.000Z,2007-05-22T04:00:00.000Z,2007,RN,Renewed,SB1,COUNCIL DISTRICT 1,"1341 PORTAGE AVE
SOUTH BEND, IN 46680
(41.693663, -86.268836)",9952
,7-ELEVEN #27054,2207 MISHAWAKA AVE,SOUTH BEND,IN,46615,(574) 232-1797,RESTAM,RESTAURANTS A-M,2010-02-28T05:00:00.000Z,2009-02-12T05:00:00.000Z,2009,RN,Renewed,SB3,COUNCIL DISTRICT 3,"2207 MISHAWAKA AVE
SOUTH BEND, IN 46615
(41.665712, -86.214627)",9953
,"HANNAH, ANDRIE M",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 273-8915,TAXID,TAXI DRIVER,2010-06-01T04:00:00.000Z,2009-05-26T04:00:00.000Z,2009,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9954
,718 NAPOLEON BLVD,718 NAPOLEON ST,SOUTH BEND,IN,46617,(000) 000-0000,LPARKU,LAWN PARK UNDER 10 SPACES,2009-10-17T04:00:00.000Z,2009-09-02T04:00:00.000Z,2009,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"718 NAPOLEON ST
SOUTH BEND, IN 46617
(41.69119, -86.239864)",9955
,TACO BELL OF AMERICA LLC #1739,231 E IRELAND RD,SOUTH BEND,IN,46614,(317) 596-3260,RESTZ,RESTAURANTS N-Z,2009-03-31T04:00:00.000Z,2008-12-23T05:00:00.000Z,2008,RN,Renewed,SB5,COUNCIL DISTRICT 5,"231 E IRELAND RD
SOUTH BEND, IN 46614
(41.629044, -86.247743)",9956
,BELLE WAY SERVICE,1705 S OLIVE ST,SOUTH BEND,IN,46628,(574) 287-6006,AUTO,AUTOMOTIVE REPAIR & SVC,2009-01-31T05:00:00.000Z,2008-02-28T05:00:00.000Z,2008,RN,Renewed,SB6,COUNCIL DISTRICT 6,"1705 S OLIVE ST
SOUTH BEND, IN 46628
(41.655221, -86.282993)",9957
,MIAMI VILLAGE FALL FESTIVAL,2122 MIAMI ST,SOUTH BEND,IN,46614,(574) 289-7054,TRANS,TRANSIENT MERCHANT,2007-10-16T04:00:00.000Z,2007-09-21T04:00:00.000Z,2007,IN,Incative and no longer licensed,SB3,COUNCIL DISTRICT 3,"2122 MIAMI ST
SOUTH BEND, IN 46614
(41.652285, -86.234913)",9958
,AMERICAN CAB,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 259-5554,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-05-26T04:00:00.000Z,2009,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9959
,CLASSIC BOUTIQUE,1636 LINCOLN WAY W,SOUTH BEND,IN,46628,(574) 232-6360,SECOND,SECOND HAND DEALERS,2010-01-31T05:00:00.000Z,2009-06-02T04:00:00.000Z,2009,RN,Renewed,,,"1636 LINCOLN WAY W
SOUTH BEND, IN 46628
(41.685823, -86.27532)",9960
,IRISH CAB CO,16400 1/2 CHANDLER BLVD,MISHAWAKA,IN,46544,(574) 239-2222,TAXICAB,TAXI VEHICLE,2007-06-01T04:00:00.000Z,2006-05-11T04:00:00.000Z,2006,AC,Active and Licensed,,,"16400 1 2 CHANDLER BLVD
MISHAWAKA, IN 46544
(41.638261, -86.181434)",9961
,AMERICAN CAB,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 259-5554,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-05-26T04:00:00.000Z,2009,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9962
,CHECKER CAB OF NORTHERN INDIAN,1635 N IRONWOOD DR,SOUTH BEND,IN,46615,(574) 288-7777,TAXICO,TAXI COMPANY,2008-06-01T04:00:00.000Z,2007-05-08T04:00:00.000Z,2007,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1635 N IRONWOOD DR
SOUTH BEND, IN 46615
(41.697561, -86.216497)",9963
,"ZOLMAN TIRE, INC",406 E MONROE ST,SOUTH BEND,IN,46601,(574) 287-1657,AUTO,AUTOMOTIVE REPAIR & SVC,2010-01-31T05:00:00.000Z,2009-06-09T04:00:00.000Z,2008,RN,Renewed,SB2,COUNCIL DISTRICT 2,"406 E MONROE ST
SOUTH BEND, IN 46601
(41.670978, -86.245454)",9964
,TRIO'S RESTAURANT & JAZZ CLUB,129 N MICHIGAN ST,SOUTH BEND,IN,46601,(574) 288-8746,RESTZ,RESTAURANTS N-Z,2010-03-31T04:00:00.000Z,2009-11-20T05:00:00.000Z,2009,RN,Renewed,SB2,COUNCIL DISTRICT 2,"129 N MICHIGAN ST
SOUTH BEND, IN 46601
(41.67743, -86.250403)",9965
,DEW DROP INN,822 S LAFAYETTE BLVD,,,46618,(574) 289-9829,RESTAM,RESTAURANTS A-M,2009-02-28T05:00:00.000Z,2008-07-21T04:00:00.000Z,2008,RN,Renewed,SB6,COUNCIL DISTRICT 6,,9966
,POWER BRAKE AND SPRING,6139 PARKLAND DR,SOUTH BEND,IN,46628,(574) 289-1044,AUTO,AUTOMOTIVE REPAIR & SVC,2010-01-31T05:00:00.000Z,2009-02-04T05:00:00.000Z,2009,RN,Renewed,SB1,COUNCIL DISTRICT 1,"6139 PARKLAND DR
SOUTH BEND, IN 46628
(41.742901, -86.334013)",9967
,AGAPE CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 514-2993,TAXICAB,TAXI VEHICLE,2008-06-01T04:00:00.000Z,2007-05-10T04:00:00.000Z,2007,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",9968
,"TROTTER, LEVI JR",3928 EASTMONT DR,SOUTH BEND,IN,46628,(574) 277-0384,TAXID,TAXI DRIVER,2010-06-01T04:00:00.000Z,2009-05-26T04:00:00.000Z,2009,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"3928 EASTMONT DR
SOUTH BEND, IN 46628
(41.72888, -86.270264)",9969
,MARTIN'S SUPER MARKETS #11,926 ERSKINE PLZ,SOUTH BEND,IN,46614,(574) 291-3571,RESTAM,RESTAURANTS A-M,2007-02-28T05:00:00.000Z,2006-04-03T04:00:00.000Z,2006,RN,Renewed,SB5,COUNCIL DISTRICT 5,"926 ERSKINE PLZ
SOUTH BEND, IN 46614
(41.628214, -86.240983)",9970
,"SMITH, SHIRLEY J",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(574) 315-2702,TAXID,TAXI DRIVER,2007-06-01T04:00:00.000Z,2007-03-20T04:00:00.000Z,2007,AC,Active and Licensed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9971
,RON'S MCKINLEY MARATHON,2124 MCKINLEY AVE,SOUTH BEND,IN,46615,(574) 234-9565,AUTO,AUTOMOTIVE REPAIR & SVC,2009-01-31T05:00:00.000Z,2008-02-28T05:00:00.000Z,2008,RN,Renewed,SB4,COUNCIL DISTRICT 4,"2124 MCKINLEY AVE
SOUTH BEND, IN 46615
(41.680231, -86.216436)",9972
,GOLDEN DOME CAB COMPANY,1843 COMMERCE DR,SOUTH BEND,IN,46628,(574) 250-4653,TAXICAB,TAXI VEHICLE,2010-06-01T04:00:00.000Z,2009-05-27T04:00:00.000Z,2009,AC,Active and Licensed,SB1,COUNCIL DISTRICT 1,"1843 COMMERCE DR
SOUTH BEND, IN 46628
(41.700498, -86.307508)",9973
,PRECISION TRANSMISSION,902 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 272-7721,AUTO,AUTOMOTIVE REPAIR & SVC,2010-01-31T05:00:00.000Z,2009-03-17T04:00:00.000Z,2009,RN,Renewed,SB3,COUNCIL DISTRICT 3,"902 S MICHIGAN ST
SOUTH BEND, IN 46601
(41.664873, -86.250082)",9974
,HOPMAN JEWELERS,2121 MCKINLEY AVE,SOUTH BEND,IN,46615,(574) 289-9870,PRECM,PRECIOUS METAL DEALERS,2010-01-31T05:00:00.000Z,2009-02-17T05:00:00.000Z,2009,IN,Incative and no longer licensed,SB4,COUNCIL DISTRICT 4,"2121 MCKINLEY AVE
SOUTH BEND, IN 46615
(41.680232, -86.216593)",9975
,4 SEASONS TREE SERVICE,0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(269) 427-5082,ARBOR,ARBORIST/TREE SERVICE,2007-01-31T05:00:00.000Z,2006-06-21T04:00:00.000Z,2006,RN,Renewed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9976
,"SENTRY WATCH, INC",0 OUTSIDE CITY LIMITS,SOUTH BEND,IN,46601,(336) 292-6468,ALARM,ALARM AGENT,2009-01-31T05:00:00.000Z,2008-02-20T05:00:00.000Z,2008,RN,Renewed,,,"0 OUTSIDE
SOUTH BEND, IN 46601
",9977
,P & G FAMILY RESTAURANT,2335 PRAIRIE AVE,SOUTH BEND,IN,46614,(574) 288-7792,RESTZ,RESTAURANTS N-Z,2010-03-31T04:00:00.000Z,2009-05-05T04:00:00.000Z,2009,RN,Renewed,SB6,COUNCIL DISTRICT 6,"2335 PRAIRIE AVE
SOUTH BEND, IN 46614
(41.649497, -86.282538)",9978
,IVY COURT INN & SUITES,1404 IVY CT,SOUTH BEND,IN,46637,(574) 277-6500,HOTEL,HOTEL/MOTEL,2010-01-31T05:00:00.000Z,2009-01-22T05:00:00.000Z,2009,RN,Renewed,SB4,COUNCIL DISTRICT 4,"1404 IVY CT
SOUTH BEND, IN 46637
(41.695269, -86.225041)",9979
,WAYNE'S TREE & LANDSCAPING,1136 E INDIANA AVE,SOUTH BEND,IN,46613,(574) 217-6658,ARBOR,ARBORIST/TREE SERVICE,2010-01-31T05:00:00.000Z,2009-08-26T04:00:00.000Z,2009,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1136 E INDIANA AVE
SOUTH BEND, IN 46613
(41.658582, -86.233275)",9980
,SUPER 8 MOTEL,4124 AMERITECH DR,SOUTH BEND,IN,46628,(574) 243-0200,HOTEL,HOTEL/MOTEL,2009-01-31T05:00:00.000Z,2008-04-01T04:00:00.000Z,2008,RN,Renewed,SB1,COUNCIL DISTRICT 1,"4124 AMERITECH DR
SOUTH BEND, IN 46628
(41.73236, -86.335341)",9981
,1 STOP VEHICLE RECONDITIONING,1824 LINCOLN WAY E,SOUTH BEND,IN,46613-3423,(574) 286-0841,AUTO,AUTOMOTIVE REPAIR & SVC,2010-01-31T05:00:00.000Z,2009-01-29T05:00:00.000Z,2009,RN,Renewed,,,"1824 LINCOLN WAY E
SOUTH BEND, IN 46613-3423
(41.657769, -86.21922)",9982
,JENIA TSCHUMAKOW,1612 SOUTH BEND AVE,SOUTH BEND,IN,46617,(574) 292-8980,LPARKO,LAWN PARK 10 OR MORE SPACES,2008-11-22T05:00:00.000Z,2008-09-11T04:00:00.000Z,2008,AC,Active and Licensed,SB4,COUNCIL DISTRICT 4,"1612 SOUTH BEND AVE
SOUTH BEND, IN 46617
(41.693659, -86.224732)",9983
,EMMAUS LUTHERAN CHURCH,929 MILTON ST,SOUTH BEND,IN,46613,(574) 287-4151,RESTAM,RESTAURANTS A-M,2012-02-28T05:00:00.000Z,2011-10-27T04:00:00.000Z,2011,RN,Renewed,SB3,COUNCIL DISTRICT 3,"929 MILTON ST
SOUTH BEND, IN 46613
(41.655207, -86.236837)",9984
,FRENCHIES,230 S MICHIGAN ST,SOUTH BEND,IN,46601,(574) 215-8897,RESTAM,RESTAURANTS A-M,2010-02-28T05:00:00.000Z,2009-04-09T04:00:00.000Z,2009,IN,Incative and no longer licensed,SB1,COUNCIL DISTRICT 1,"230 S MICHIGAN ST
SOUTH BEND, IN 46601
(41.674328, -86.250287)",9985
,BG'S DOWNTOWN DOGS,111 S SAINT JOSEPH ST,SOUTH BEND,IN,46601,(574) 246-0136,RESTAM,RESTAURANTS A-M,2010-02-28T05:00:00.000Z,2009-06-15T04:00:00.000Z,2009,RN,Renewed,SB2,COUNCIL DISTRICT 2,"111 S SAINT JOSEPH ST
SOUTH BEND, IN 46601
(41.675906, -86.248792)",9986
,JOVI'S LOUNGE,1905 MIAMI ST,SOUTH BEND,IN,46614,(574) 289-3770,RESTAM,RESTAURANTS A-M,2012-02-28T05:00:00.000Z,2011-01-26T05:00:00.000Z,2011,RN,Renewed,SB3,COUNCIL DISTRICT 3,"1905 MIAMI ST
SOUTH BEND, IN 46614
(41.654395, -86.234938)",9987
